"   A new level of awful. My curiosity got the better of me. Could Delta be as bad as everyone I knew told me it was. I should have trusted my instinct. A clapped out old A330, clapped out cabin design, the seat to be fair was comfortable and I did get a good sleep. Dinner service did not happen as they did not have enough beef to cater for the needs of their business passengers. Sat in seat 4J I was surprised to learn that you need to sit on the ""captains side"" of the plane if you want to get your choice of meal with Delta. The crew member I spoke to was wholly disinterested in any form of complaint and said ""Listen what do you want?"" Naturally I considered approaching the purser on the plane to speak to him about perhaps guiding his staff on how to deal with premium passengers. When I learned a few moments later that this guy was the purser I realised that my night was over and this was a bus service to Atlanta and that I should expect no level of service whatsoever. Looking for good things. The seat, thats it. Bring your own food, don't expect any manners, get on the bus, sit down, shut up and you'll get to your destination in one piece. I spend a lot of my own money flying in a style that I like to enjoy. Delta failed, failed and failed again. I regret that I now have to continue flying on to Paris with Delta. Thankfully this flight is in economy and as such I already have no expectation of service whatsoever."
"   After a 24-hour journey home to Toronto from South Africa, the last leg of my trip was on American Airlines out of Chicago. As I settled into my seat, I watched my luggage being loaded on the plane parked next to me. I alerted the flight attendant, who quickly reached out to the supervisor to intervene. After much discussion and delay, I finally saw the baggage handlers walk my suitcase over to the stairs of our gangway. Eureka! I saved myself the extra hassle of recovering my luggage after Qatar so skillfully and autonomously managed several potential baggage issues on the other legs of my trip, or so you would think. Even though I was able to intervene enough to get my suitcase to the door of the plane, it actually never made it inside. Whatever happened at that moment saw my luggage delayed until the next flight, 2 hours later. Not impressed by the 'we-don't-really-care-about-you-or-your-luggage' attitude. Oh yeah, and here's a little bag a mini-pretzels to make up for it. They could learn a lot from international standards."
"   After a bad flight experience with American Airlines 3 years ago, I was pretty hesitant to fly with American again but it was the best option for my needs and I believe in second chances. I arrived in Washington DC at IAD 2 hours before my 7.20 am flight to find that it had been delayed to 10.30 am and my connecting flight in Dallas had subsequently been changed to accommodate for the delay. Even though I asked two employees, nobody could give a definitive answer as to why the flight was delayed 3 hours. I realize that these things happen and my connection had been altered so I wasn't too upset with the changes, but once it was time to board the now 10.30 am flight things started to de-escalate. They boarded some passengers and then stopped and made everyone get off the plane because, our pilot was missing! There was a major miscommunication about where the pilot was and the flight staff didn't have much information to tell us at first. We later found out that he was at least an hour away at another airport in DC. Knowing that I only had a 1 hour layover between my newly rebooked flights, I was panicking. We were finally allowed to re board our flight after many miscommunications about the pilots whereabouts and the flight attendants seemed to find the entire situation comical or maybe they were trying to lighten the mood for their unpleased passengers? The only saving grace in this story is the employee at the gate counter. Without her help I would have certainly missed my connection, but because of her tremendous efforts I was able to make my connecting flight by 5 minutes. Of course, the trip home wasn't quite as terrible, but again I only had one hour to catch my connection and the flight leaving Oklahoma City was 30 minutes late and again I made my connection by 5 minutes. The flights themselves weren't worse or better than average and there are some very helpful employees, but I'm going to steer clear from American Airlines from now on."
"   Akron to Norfolk via Philadelphia. Unfortunately had to cancel a flight. Went to cancel and request a credit for future travel and was told that on a $500 flight, the cancellation fee would be $200 per ticket or $400 for this flight! 75% of the cost! Most absurd thing I ever heard. Southwest does not do this. Will never give American Airlines another chance. Also purchased, what I thought was their trip cancellation insurance at the time of booking on their site only to find out this is a separate company and basically this coverage only covers specific situations. What a ripoff."
"   All perfect, flew American Airlines for work on a Tuesday to San Francisco, then to Los Angeles and then back to NYC. All flights on time. Check in at the airport was very easy all 3 times. Boarding by new group system, very organized. On board the A321 you get a personal IFE, lots of movies, all for free. No food provided, just for purchase. Drinks offered up to 3 times during a 6hr flight. FA very nice. Cabin feels very comfortable for economy. Bags fast on belt after arrival."
"   Always switching gates, sometimes even terminals. Arrived at gate as stated on ticket at boarding time and sat down to wait. Then I heard them say flight to Tuscan had changed gates. My flight was to Portland, which had obviously been changed earlier. After slow, seemingly uninterested service I was told my flight had moved 20 gates to the other end of terminal. I ran and literally arrived 2 min after door closed. Lady made no real effort to get me on the plane. Just cited the rules. Meanwhile I could see plane sitting there. Clearly could have helped if she tried. Service on flights and at gates always seems plastic and fake, like they are just going thru motions and not even trying to hide it. No regard for the customer. I will never fly American Airlines again!"
"   American Airlines cancelled our flight from Dublin to Chicago (not due to weather), but no call despite the fact that I had given them our cell number. They rerouted us to London, Chicago, but failed to mention it would take an extra day to get home. When I noticed this, I had to talk with a different agent in London to route us through Dallas. We ended up 5+ hours late and missed connecting flight, having to stay overnight in Seattle and buying new tickets for $350. AA refused to pay for hotel, meals, rebooked flight despite that they got us to our destination a day later. Will try to avoid them as much as possible in the future. "
"   American Airlines couldn’t find the pilot for the flight 5010 from Philadelphia to Manchester NH, the gate agent said that we were almost ready to board a couple times. Then she announced that they needed to locate the captain and had been calling him. The woman next to me said that she didn’t want to go on the flight if they did find that captain. Who doesn’t call in when they will miss a flight (what could he have been doing?)  Then, the gate agent announced that they had found another pilot. This pilot #2 was a passenger on another plane but agreed to fly this plane. We were delayed but did get to Manchester. At least the gate agent was honest enough to say what was going on. I was supposed to fly into Portland, ME but that flight was abruptly cancelled. And my friends were nice enough to pick me up in New Hampshire, for which I am thankful, or the vacation would have been cancelled."
"   American Airlines flight from Milwaukee to Chicago was showing as delayed by 35 minutes upon our arrival to airport. No problem as we had 1 x 2.5 hour layover for a connecting flight. However, time went on and the departure time kept getting extended for no reason given. We were instructed that the flight would still occur. When the flight showed a departure time of 9.51 (almost 2 hours past its original time - and keep in mind the flight is only a 45 minute flight from Milwaukee to Chicago), I went up to find out what was going on. Fortunately a pilot was there and told me that the 1st plane had mechanical issues and then another was sent for and it returned for mechanical issues and that they were looking for another plane. They were talking about getting a bus to send passengers to Chicago. Unfortunately, that would no longer be an option as it would take at least 2 hours to drive, park and get to gate - which means we would be missing our connecting flight. Why didn't someone make that decision sooner - or at least let us know as I could have driven to Chicago or got my own transportation. No communication. When a gate agent finally arrived, she said she could change our flight to get us to our destination, but it was not leaving until 4 pm (we had been at the airport since 6.20 am). So now we had to wait until 4 pm to leave and it was 10 am at that point. We were later given some food vouchers by a ticketing agent as the gate agent seemed to think that this was normal for AA and she agreed with us but there was nothing she could do. When we tried to use the vouchers - which states only good for food and beverages - at Nonna's restaurant, they refused to honor part of it as we had two drinks with our food and they stated that it did not include alcoholic beverages - which it does not state on the voucher anywhere. Again, more issues. We finally arrived at our destination over 7 hours late (which is big in a short 4 day vacation). The experience was terrible all around. So much so that we are looking at cancelling our Citi Advantage card and never flying AA again."
"   American Airlines is using a very old plane for this route from Miami to Milan. There are no individual screens for in-flight entertainment which is very unusual for such a long flight. Also the dinner and breakfast served is of poor quality but in line what you pay for flying with American Airlines. However, the flight was on-time and the flight attendants were friendly."
"   American Airlines overbooked the flight from St George to Phoenix by 1 passenger. I checked in 35 minutes before the deadline of 30 minutes. I was at the gate before the 15 minute deadline to get my seat assignment since they overbooked. They said that the plane was full and since I was the last one to check in, that they could book me on the next flight which was 5 hours later. I said that if they knew that the flight was overbooked, why didn't they ask for volunteers, I had to go to work. They were very arrogant, and gave me a hard time, in fact I had to beg them to give me another ticket on the next flight. I sent a complaint into American Airlines and all they said was ""sorry, hope your next experience will be better"". No compensation, just excuses. I sent in verification of my arrival on time, but they just ignored it. This is the worst customer service I have had with an airline. In addition, the security told the gate people I was coming since I was handicapped, so they knew in advance but managed to board the plane early and since it was full I was out of luck. This is the most unprofessional airline."
"   American keeps getting progressively worse with each trip of mine! After the horror ripped baggage and damaged articles experience the previous trip I regret giving American Airlines another chance. After 2-3 months of explaining and convincing I finally was offered some compensation. The only reason I decided to take America again because of the $100 gift card they offered. Last week, I relocated completely from NY to TX. I literally moved my entire house from one coast to the other, and without any consideration to that AA charged me $100 for 3 pounds extra. Yes you heard it right, $100 for 3 pounds! The guy at the counter apparently had no power to let ""3 pounds"" in a check in bag go or make any exceptions and I contact customer care to take care of this later on, but all I get is a couple of copy-pasted auto replies from customer service and then they disappear completely. Maybe AA uses the strategy of ""let the customer lose patience waiting for our reply"". That way the case dies a natural death! No consideration to customer satisfaction whatsoever."
   Amsterdam to Boston. Not surprised by poor service of a major US airline. Seats changed at the last minute. Given worst seats in business. Chief flight attendant did not care. Luckily traveling on KLM ticket from South Africa. KLM crew intervened and got our seats changed. Special meals were not on board despite being present on Delta web site. Typical US airline cattle car service despite being in business class. Seats had privacy only one per window once we got our seats changed. Excellent food and comfort once we took off and had issues resolved. Bonus miles for problems on return from customer service were too little too late.
"   Amsterdam to Portland. Last year at this time we flew Heathrow to Seattle and Seattle to Portland and it was a wonderful experience especially on the way back because at Portland I was asked to checkin my hand luggage and garment bag. The garment bag didn't make it but after a Delta supervisor made a number of calls the bag was on the next flight and our pilot said on arrival at Heathrow he would let us know if the bag made it. To my amazement after a long flight leaving an hour late but arriving on time he told me at the exit that my bag was indeed on board. What fantastic service. I sent email to Delta but never even got an acknowledgement of it. This year from Amsterdam direct to Portland on DL179 we were called back to the gate because of a security issue. Bags on board but not the passengers who owned them? Not Delta's fault. But on a 10 hour + flight you would expect not to have to be reaching for Jerseys, hoodies & gloves to keep warm. Lots of passengers complained about it being freezing for the whole flight (it was colder than the cold water served up). We are flying back on the 22nd and hope we can get some sleep from Portland to San Francisco to Amsterdam then to Manchester, please Delta don't have it so cold."
"   Amsterdam to Seattle. I have to admit having read the reports on this site I wasn't looking forward to this flight but the service was very good, the flight attendants professional and helpful and food/drinks offered were good quality and well presented. Seat was comfortable. If I have a complaint the IFE film selection was not particularly my choice but there was enough I could pick from for the flight."
"   An early morning start at Dulles, check in was very smooth and boarding was orderly, the aircraft was old but the service was very good arrival at Atlanta was on time. Delta attendants at arrival were very helpful and courteous, our connection at Atlanta was distant, we had to go from terminal C all the way to terminal F and our flight to Honolulu was on time. We boarded an older A330-300, from it's registration number it was one of the old Northwest Airlines aircraft, but the layout of the Business First is the latest Delta product. Delta have an excellent record of their upkeep of their aircraft even if they are very old. The entertainment system worked well but the food was very poor. Again the service was professional and top notch. Arrival in Honolulu was ahead of time and we had a great view of the Big Island and Maui and towards landing we saw beautiful Waikiki."
"   Appalling experience from Milan to New York and back. I was unable to print my boarding pass from the website despite being checked in. I was berated at the check-in desk for being late and asked several times why. I was not late and had to wait for the gate to open once I got there using no express line. The flight attendants on the way to New York were nice, but the airplane was just something out of the 90s. No private screen (which is standard for British, United, Lufthansa, Swiss), no way to control the air conditioning (it was freezing cold), the audio from the audio jack was not working well and the seat pocket was a little broken. On the way back, the cabin crew, and particularly one flight attendant, was just so rude I could not believe my ears. I was asked if I wanted to change seats because I was seated close to the restrooms in the back and when I politely declined explaining that I wasn’t feeling very well and wanted to stay close to the restroom I got a ""yeah, whatever!"" as a response while she walked away. And during landing she said to her colleague, thinking we wouldn’t hear I hope, ""I mean, we are landing, wake up people!"". The food was not bad, but was the same for both long haul flights. I will avoid ever flying with American Airlines if I can."
